WKT,name,description
"POINT (-5.3265453 35.8963704)",Point 1,
"POINT (-5.3267062 35.8962205)",Point 2,
"POINT (-5.3266767 35.896164)",Point 3,
"POINT (-5.3265614 35.8961314)",Point 4,
"POINT (-5.3264568 35.8961553)",Point 5,
"POINT (-5.3263978 35.8962705)",Point 6,
"POINT (-5.323008 35.8937476)",Point 7,
"POINT (-5.3229051 35.8938243)",Point 8,
"POINT (-5.322826 35.8936385)",Point 9,
"POINT (-5.3227496 35.893695)",Point 10,
"POINT (-5.3215429 35.8927027)",Point 11,
"POINT (-5.3213953 35.8926114)",Point 12,
"POINT (-5.3213149 35.8926744)",Point 13,
"POINT (-5.3214812 35.8927722)",Point 14,
"POINT (-5.3200676 35.8916467)",Point 15,
"POINT (-5.3198933 35.8915293)",Point 16,
"POINT (-5.3198021 35.8916075)",Point 17,
"POINT (-5.3200167 35.8917118)",Point 18,
"POINT (-5.3174125 35.8908714)",Point 19,
"POINT (-5.317324 35.8908171)",Point 20,
"POINT (-5.3172272 35.8908316)",Point 21,
"POINT (-5.3171883 35.89095)",Point 22,
"POINT (-5.3172876 35.8910055)",Point 23,
"POINT (-5.3173841 35.8909718)",Point 24,
"POINT (-5.317938 35.8901852)",Point 25,
"POINT (-5.3181392 35.8900852)",Point 26,
"POINT (-5.3179152 35.8899776)",Point 27,
"POINT (-5.3178495 35.8900559)",Point 28,
"POINT (-5.3133733 35.888827)",Point 29,
"POINT (-5.3132378 35.8887543)",Point 30,
"POINT (-5.3131661 35.8887684)",Point 31,
"POINT (-5.3131178 35.8887977)",Point 32,
"POINT (-5.313105 35.8888662)",Point 33,
"POINT (-5.3133337 35.8889275)",Point 34,
"POINT (-5.3043634 35.8908938)",Point 35,
"POINT (-5.303709 35.8918064)",Point 37,
"POINT (-5.3013755 35.8926147)",Point 39,
"POINT (-5.3009892 35.8945442)",Point 41,
"POINT (-5.3009677 35.8927755)",Point 44,
"POINT (-5.2983982 35.8962912)",Point 46,
"POINT (-5.2990617 35.8994398)",Point 48,
"POINT (-5.2946199 35.9023946)",Point 50,
"POINT (-5.2928022 35.9018464)",Point 51,
"POINT (-5.2909783 35.902546)",Point 52,
"POINT (-5.2877436 35.9012685)",Point 53,
"POINT (-5.2872293 35.9017364)",Point 55,
"POINT (-5.2859096 35.9006413)",Point 56,
"POINT (-5.2852364 35.9009086)",Point 57,
"POINT (-5.2801429 35.8988575)",Point 58,
"POINT (-5.2806176 35.8976126)",Point 59,
"POINT (-5.2851879 35.8995414)",Point 60,
"POINT (-5.2862822 35.8980552)",Point 61,
"POINT (-5.285102 35.8969862)",Point 62,
"POINT (-5.2863144 35.8952827)",Point 63,
"POINT (-5.2851879 35.8946917)",Point 64,
"POINT (-5.2879375 35.8921273)",Point 65,
"POINT (-5.2906305 35.8926749)",Point 66,
"POINT (-5.2918214 35.8919187)",Point 67,
"POINT (-5.2915424 35.8910843)",Point 68,
"POINT (-5.2932054 35.8899631)",Point 69,
"POINT (-5.2970722 35.8912393)",Point 70,
"POINT (-5.2971688 35.8913436)",Point 71,
"POINT (-5.2972895 35.8912719)",Point 72,
"POINT (-5.2972278 35.8911936)",Point 73,
"POINT (-5.317819 35.8901399)",Point 74,
"POINT (-5.3009564 35.8872248)",Point 75,
"POINT (-5.3105519 35.8853038)",Point 76,
"POINT (-5.3129996 35.8870577)",Point 77,
