WKT,name,description
"POINT (-5.3264098 35.8962661)",Point 1,Rotonda1 Av. Juan de Borbon
"POINT (-5.3265445 35.8963675)",Point 2,Rotonda 1 Av. Juan de Borbon
"POINT (-5.3266907 35.8962122)",Point 3,Rotonda 1 Av. Juan de Borbon
"POINT (-5.3266692 35.8961774)",Point 4,Rotonda 1 Av. Juan de Borbon
"POINT (-5.3265499 35.8961242)",Point 5,Rotonda 1 Av. Juan de Borbon
"POINT (-5.326464 35.8961491)",Point 6,Rotonda 1 Av. Juan de Borbon
"POINT (-5.3260054 35.8958591)",Point 7,Av. Juan de Borbon
"POINT (-5.3229747 35.8937308)",Point 8,Rotonda 2 Av. Juan de Borbon
"POINT (-5.3228333 35.8936379)",Point 10,Rotonda 2 Av. Juan de Borbon
"POINT (-5.3227407 35.8936933)",Point 11,Rotonda 2 Av. Juan de Borbon
"POINT (-5.3229077 35.8938242)",Point 12,Rotonda 2 Av. Juan de Borbon
"POINT (-5.3215378 35.892687)",Point 13,Rotonda 3 Av. Juan de Borbon
"POINT (-5.3214184 35.892612)",Point 14,Rotonda 3 Av. Juan de Borbon
"POINT (-5.3213188 35.8926821)",Point 15,Rotonda 3 Av. Juan de Borbon
"POINT (-5.3214981 35.8927716)",Point 16,Rotonda 3 Av. Juan de Borbon
"POINT (-5.3200596 35.891633)",Point 17,Rotonda 4 Av. Juan de Borbon
"POINT (-5.3199308 35.8915374)",Point 18,Rotonda 4 Av. Juan de Borbon
"POINT (-5.3198128 35.8916069)",Point 19,Rotonda 4 Av. Juan de Borbon
"POINT (-5.3200274 35.8917286)",Point 20,Rotonda 4 Av. Juan de Borbon
"POINT (-5.317431 35.8908768)",Point 21,Rotonda 5 Av. Juan de Borbon
"POINT (-5.3173452 35.8908247)",Point 22,Rotonda 5 Av. Juan de Borbon
"POINT (-5.3172432 35.8908029)",Point 23,Rotonda 5 Av. Juan de Borbon
"POINT (-5.3171842 35.8909811)",Point 24,Rotonda 5 Av. Juan de Borbon
"POINT (-5.3172915 35.8910289)",Point 25,Rotonda 5 Av. Juan de Borbon
"POINT (-5.3174149 35.8909811)",Point 26,Rotonda 5 Av. Juan de Borbon
"POINT (-5.3179567 35.8901902)",Point 27,Rotonda el Puente del cristo
"POINT (-5.3181445 35.8900772)",Point 28,Rotonda el Puente del cristo
"POINT (-5.3179138 35.8899642)",Point 29,Rotonda el Puente del cristo
"POINT (-5.3178441 35.8900511)",Point 30,Rotonda el Puente del cristo
"POINT (-5.3178441 35.8901467)",Point 31,Rotonda el Puente del cristo
